 02581 +5857 +01816 0040 2 Uto                   S 1
 02582 +5845 +01752 0013 2 Landsort              S 1
 02583 +5836 +01728 0021 2 Gustaf Dalen          S 1
 02584 +5824 +01912 0012 2 Gotska Sandon         S 1
 02586 +5815 +01701 0005 2 Harstena              S 1
 02588 +5754 +01910 0008 2 Faro                  S 1
 02590 +5740 +01821 0051 2 Visby                 S 1
 02591 +5739 +01821 0045 2 Visby                 S 1
 02592 +5722 +01706 0004 2 Olands Norra          S 1
 02594 +5718 +01758 0040 2 Stora Karlso          S 1
 02596 +5725 +01855 0005 2 Herrvik               S 1
 02597 +5731 +01827 0030 2 Roma                  S 1
 02599 +5704 +01813 0000 2 Nasudden              S 1
 02600 +5656 +01222 0003 2 Glommen               S 1
 02604 +5641 +01250 0031 2 Halmstad              S 1
 02606 +5618 +01227 0072 2 Kullen                S 1
 02607 +5618 +01251 0020 2 Angelholm             S 1
 02610 +5552 +01252 0011 2 Orja                  S 1
 02611 +5603 +01241 0005 2 Helsingborg           S 1
 02614 +5536 +01251 0010 2 Oskarsgrundet         S 1
 02616 +5523 +01249 0005 2 Falsterbo             S 1
 02617 +5523 +01304 0000 2 Maglarp               S 1
 02620 +5658 +01306 0085 2 Torup                 S 1
 02622 +5650 +01358 0145 2 Ljungby               S 1
 02626 +5622 +01357 0083 2 Osby                  S 1
 02627 +5543 +01313 0073 2 Lund LTH              S 1
 02630 +5605 +01314 0043 2 Ljungbyhed            S 1
 02635 +5535 +01301 0013 2 Malmo                 S 1
 02636 +5533 +01322 0072 2 Malmoe                S 1
 02640 +5652 +01448 0165 2 Vaxjo                 S 1
 02641 +5656 +01444 0182 2 Vaxjo Kronoberg       S 1
 02650 +5601 +01451 0055 2 Hano                  S 1
 02651 +5555 +01405 0023 2 Kristianstad          S 1
 02656 +5523 +01412 0004 2 Sandhammaren          S 1
 02662 +5631 +01537 0114 2 Vissefjarda           S 1
 02664 +5616 +01517 0058 2 Ronneby               S 1
 02666 +5602 +01548 0002 2 Ungskar               S 1
 02668 +5604 +01535 0005 2 Kungsholms For        S 1
 02670 +5641 +01618 0006 2 Kalmar                S 1
 02672 +5644 +01618 0015 2 Kalmar                S 1
 02676 +5612 +01624 0003 2 Olands Sodra          S 1
 02680 +5655 +01809 0038 2 Hoburg                S 1
 02681 +5829 +01531 0052 2 Vreta Kloster         S 1
 02685 +5604 +01641 0030 2 Olands Sodra          S 1
 02919 +6241 +03057 0162 2 Ilomantsi            SF 3
 02929 +6240 +02938 0116 2 Joensuu              SF 3
 02935 +6224 +02540 0140 2 Jyvaskyla            SF 3
 02944 +6125 +02335 0119 2 Tampere Pirkkala     SF 3
 02952 +6128 +02148 0013 2 Pori                 SF 3
 02958 +6102 +02810 0105 2 Lappeenranta         SF 3
 02963 +6049 +02330 0104 2 Jokioinen            SF 3
 02970 +6007 +01954 0002 2 Maarianhamina        SF 3
 02972 +6031 +02216 0051 2 Turku                SF 3
 02974 +6019 +02458 0053 2 Helsinki Vantaa      SF 3
 02976 +6022 +02658 0011 2 Rankki               SF 3
 02981 +5947 +02123 0009 2 Uto                  SF 3
 02982 +5946 +02257 0006 2 Russaro              SF 3
 03001 +6051 -00053 0053 2 Muckle Flugga        GB 2
 03002 +6045 -00051 0015 2 Baltasound           GB 2
 03003 +5953 -00118 0005 2 Sumburgh             GB 2
 03005 +6008 -00111 0082 2 Lerwick              GB 2
 03006 +6027 -00116 0007 2 Sella Ness           GB 2
 03007 +6035 -00116 0022 2 Muckle Holm          GB 2
 03008 +5932 -00138 0059 2 Fair Isle            GB 2
 03009 +5922 -00225 0011 2 North Ronaldsa       GB 2
 03010 +5905 -00424 0016 2 Sule Skerry          GB 2
 03011 +5907 -00549 0098 2 North Rona           GB 2
 03013 +6009 -00204 0022 2 Foula                GB 2
 03014 +6007 -00204 0013 2 Foula                GB 2
 03017 +5857 -00254 0021 2 Kirkwall             GB 2
 03021 +5709 -00719 0006 2 Lochboisdale         GB 2
 03022 +5728 -00722 0006 2 Benbecula            GB 2
 03024 +5658 -00641 0010 2 Hyskeir              GB 2
 03025 +5831 -00616 0023 2 Butt of Lewis        GB 2
 03026 +5813 -00619 0009 2 Stornoway            GB 2
 03027 +5726 -00646 0092 2 Waterstein           GB 2
 03034 +5752 -00538 0011 2 Aultbea              GB 2
 03035 +5702 -00727 0003 2 Barra                GB 2
 03038 +5650 -00506 0020 2 Fort William         GB 2
 03040 +5646 -00603 0045 2 Kilmory              GB 2
 03041 +5949 -00458 1130 2 Aonach Mor           GB 2
 03047 +5652 -00442 0237 2 Tulloch Bridge       GB 2
 03049 +5838 -00500 0112 2 Cape Wrath           GB 2
 03054 +5836 -00401 0032 2 Strathy Point        GB 2
 03055 +5852 -00323 0020 2 Rackwick             GB 2
 03057 +5716 -00429 0021 2 Foyers               GB 2
 03058 +5741 -00410 0003 2 Invergordon          GB 2
 03059 +5732 -00403 0009 2 Inverness            GB 2
 03060 +5642 -00401 0145 2 Tummel Bridge        GB 2
 03062 +5749 -00358 0004 2 Tain Range           GB 2
 03063 +5712 -00350 0220 2 Aviemore             GB 2
 03065 +5707 -00338 1245 2 Cairngorm            GB 2
 03066 +5739 -00334 0007 2 Kinloss              GB 2
 03067 +5654 -00338 0560 2 Fealar Lodge         GB 2
 03068 +5743 -00319 0013 2 Lossiemouth          GB 2
 03069 +5625 -00300 0004 2 Dundee               GB 2
 03070 +5721 -00321 0215 2 Glenlivet            GB 2
 03071 +5720 -00338 0335 2 Grantown             GB 2
 03075 +5827 -00305 0039 2 Wick                 GB 2
 03077 +5748 -00404 0000 2 Tain                 GB 2
 03080 +5705 -00250 0140 2 Aboyne               GB 2
 03085 +5704 -00232 0080 2 Inchmarlo            GB 2
 03088 +5651 -00216 0134 2 Inverbervie          GB 2
 03091 +5712 -00213 0065 2 Aberdeen             GB 2
 03092 +5730 -00146 0005 2 Peterhead            GB 2
 03100 +5630 -00653 0012 2 Tiree                GB 2
 03102 +5540 -00630 0023 2 Orsay                GB 2
 03111 +5526 -00542 0013 2 Machrianish          GB 2
 03114 +5625 -00528 0004 2 Oban                 GB 2
 03118 +5500 -00509 0015 2 Corsewall Point      GB 2
 03120 +5542 -00517 0008 2 Lochranza            GB 2
 03121 +5526 -00506 0018 2 Kildonan             GB 2
 03130 +5500 -00500 0000 2 ?xyz                 GB 2
 03132 +5451 -00457 0012 2 West Freugh          GB 2
 03133 +5615 -00443 0006 2 Sloy                 GB 2
 03135 +5530 -00435 0020 2 Prestwick            GB 2
 03137 +5442 -00425 0040 2 Whithorn             GB 2
 03138 +5558 -00448 0010 2 Greenock             GB 2
 03140 +5552 -00426 0008 2 Glasgow              GB 2
 03144 +5619 -00344 0035 2 Strathallan          GB 2
